Unnamed: 0,index,zipcode,num_felony,num_violation,num_misdemeanor,most_freq_ofns_desc,most_freq_loc_occur,most_freq_prem_type,most_freq_susp_age_group,most_freq_susp_race,most_freq_susp_sex,most_freq_vic_age_group,most_freq_vic_race,most_freq_vic_sex,num_total_crimes,median_income,unemployment_rate,num_stopandfrisk,num_police_station,num_restroom,crime_severity
150,150,11411.0,225,159,457,PETIT LARCENY,INSIDE,RESIDENCE-HOUSE,UNKNOWN,BLACK,M,25-44,BLACK,F,841,117018.0,5.8,8,0,0,1
151,151,11412.0,526,287,752,HARRASSMENT 2,INSIDE,RESIDENCE-HOUSE,UNKNOWN,BLACK,M,25-44,BLACK,F,1565,96094.0,4.9,21,0,0,1
152,152,11413.0,690,357,931,HARRASSMENT 2,INSIDE,RESIDENCE-HOUSE,UNKNOWN,BLACK,M,25-44,BLACK,F,1978,111065.0,5.0,26,0,0,1
153,153,11414.0,380,181,460,PETIT LARCENY,INSIDE,RESIDENCE-HOUSE,UNKNOWN,UNKNOWN,U,25-44,WHITE,F,1021,95370.0,8.2,15,0,0,1
154,154,11415.0,181,103,307,PETIT LARCENY,INSIDE,STREET,UNKNOWN,UNKNOWN,U,25-44,WHITE,M,591,88306.0,5.6,5,0,0,1
155,155,11416.0,390,250,549,HARRASSMENT 2,INSIDE,STREET,UNKNOWN,UNKNOWN,M,25-44,ASIAN / PACIFIC ISLANDER,M,1189,84085.0,7.6,14,0,0,1
156,156,11417.0,596,276,830,PETIT LARCENY,INSIDE,RESIDENCE-HOUSE,UNKNOWN,UNKNOWN,M,25-44,ASIAN / PACIFIC ISLANDER,F,1702,84419.0,6.5,24,1,8,2
157,157,11418.0,658,327,1135,PETIT LARCENY,INSIDE,STREET,UNKNOWN,UNKNOWN,M,25-44,WHITE HISPANIC,M,2120,79101.0,6.2,9,1,2,1
158,158,11419.0,908,456,1405,PETIT LARCENY,INSIDE,RESIDENCE-HOUSE,UNKNOWN,UNKNOWN,M,25-44,ASIAN / PACIFIC ISLANDER,M,2769,90818.0,8.6,27,0,0,1
159,159,11420.0,869,417,1194,PETIT LARCENY,INSIDE,RESIDENCE-HOUSE,UNKNOWN,UNKNOWN,M,25-44,ASIAN / PACIFIC ISLANDER,M,2480,97919.0,9.0,40,0,0,1
160,160,11421.0,483,286,981,PETIT LARCENY,INSIDE,STREET,UNKNOWN,UNKNOWN,M,25-44,WHITE HISPANIC,F,1750,81324.0,7.1,10,0,0,1
161,161,11422.0,400,290,674,HARRASSMENT 2,INSIDE,RESIDENCE-HOUSE,UNKNOWN,BLACK,M,25-44,BLACK,F,1364,101416.0,7.2,18,1,3,1
162,162,11423.0,594,223,648,HARRASSMENT 2,INSIDE,STREET,UNKNOWN,BLACK,M,25-44,BLACK,M,1465,79500.0,9.5,16,0,0,1
163,163,11426.0,182,114,236,PETIT LARCENY,INSIDE,RESIDENCE-HOUSE,UNKNOWN,(null),M,25-44,ASIAN / PACIFIC ISLANDER,M,532,112325.0,4.6,7,0,0,1
164,164,11427.0,311,179,476,PETIT LARCENY,INSIDE,RESIDENCE-HOUSE,UNKNOWN,UNKNOWN,M,25-44,BLACK,F,966,84691.0,6.7,8,0,0,1
165,165,11428.0,353,181,584,HARRASSMENT 2,INSIDE,RESIDENCE-HOUSE,UNKNOWN,BLACK,M,25-44,BLACK,F,1118,89593.0,7.9,6,1,2,1
166,166,11429.0,392,278,652,HARRASSMENT 2,INSIDE,RESIDENCE-HOUSE,UNKNOWN,BLACK,M,25-44,BLACK,F,1322,95721.0,10.3,20,0,0,1
167,167,11432.0,1481,452,2376,PETIT LARCENY,INSIDE,STREET,UNKNOWN,BLACK,M,25-44,UNKNOWN,M,4309,72001.0,8.2,86,1,8,2
168,168,11433.0,1019,421,1581,PETIT LARCENY,INSIDE,STREET,UNKNOWN,BLACK,M,25-44,BLACK,F,3021,73118.0,14.9,45,0,0,2
169,169,11434.0,1543,685,2620,PETIT LARCENY,INSIDE,STREET,UNKNOWN,BLACK,M,25-44,BLACK,F,4848,71728.0,9.6,86,1,6,3
170,170,11435.0,1412,439,1703,PETIT LARCENY,INSIDE,STREET,UNKNOWN,BLACK,M,25-44,BLACK,M,3554,76915.0,11.3,41,0,0,2
171,171,11436.0,325,224,430,HARRASSMENT 2,INSIDE,RESIDENCE-HOUSE,UNKNOWN,UNKNOWN,M,25-44,BLACK,F,979,87685.0,7.1,5,0,0,1
172,172,11691.0,1108,896,1703,HARRASSMENT 2,INSIDE,RESIDENCE - APT. HOUSE,UNKNOWN,BLACK,M,25-44,BLACK,F,3707,59153.0,9.5,66,0,0,2
173,173,11692.0,389,311,588,HARRASSMENT 2,INSIDE,RESIDENCE - APT. HOUSE,UNKNOWN,BLACK,M,25-44,BLACK,F,1288,57687.0,7.8,48,0,0,1
174,174,11693.0,306,189,495,HARRASSMENT 2,INSIDE,STREET,UNKNOWN,BLACK,M,25-44,BLACK,F,990,72714.0,9.3,9,1,2,1
175,175,11694.0,266,210,577,PETIT LARCENY,INSIDE,RESIDENCE - APT. HOUSE,UNKNOWN,BLACK,M,UNKNOWN,WHITE,M,1053,100190.0,7.3,11,1,1,1
176,176,11697.0,16,6,16,GRAND LARCENY,INSIDE,RESIDENCE-HOUSE,(null),(null),(null),45-64,WHITE,F,38,134563.0,3.4,0,0,0,1
0,0,11241.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,11243.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,11249.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10103.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10119.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10162.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10165.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10170.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10173.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10199.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10279.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,11351.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,11359.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10501.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10502.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10503.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10504.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10505.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10506.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10507.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10510.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10511.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10514.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10517.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10518.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10519.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10520.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10522.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10523.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10526.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10527.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10528.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10530.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10532.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10533.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10535.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10536.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10537.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10538.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10540.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10543.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10545.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10546.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10547.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10548.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10549.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10550.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10552.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10553.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10560.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10562.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10566.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10567.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10570.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10573.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10576.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10577.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10578.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10580.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10583.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10588.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10589.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10590.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10591.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10594.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10595.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10596.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10597.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10598.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10601.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10603.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10604.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10605.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10606.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10607.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10701.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10703.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10704.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10705.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10706.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10707.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10708.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10709.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10710.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10801.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10803.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10804.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0,10805.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
