,zipcode,num_felony,num_violation,num_misdemeanor,most_freq_ofns_desc,most_freq_loc_occur,most_freq_prem_type,most_freq_susp_age_group,most_freq_susp_race,most_freq_susp_sex,most_freq_vic_age_group,most_freq_vic_race,most_freq_vic_sex,num_total_crimes
149,11385,1540,615,2148,PETIT LARCENY,INSIDE,STREET,(null),(null),M,25-44,WHITE HISPANIC,M,4303
150,11411,225,159,457,PETIT LARCENY,INSIDE,RESIDENCE-HOUSE,UNKNOWN,BLACK,M,25-44,BLACK,F,841
151,11412,526,287,752,HARRASSMENT 2,INSIDE,RESIDENCE-HOUSE,UNKNOWN,BLACK,M,25-44,BLACK,F,1565
152,11413,690,357,931,HARRASSMENT 2,INSIDE,RESIDENCE-HOUSE,UNKNOWN,BLACK,M,25-44,BLACK,F,1978
153,11414,380,181,460,PETIT LARCENY,INSIDE,RESIDENCE-HOUSE,UNKNOWN,UNKNOWN,U,25-44,WHITE,F,1021
154,11415,181,103,307,PETIT LARCENY,INSIDE,STREET,UNKNOWN,UNKNOWN,U,25-44,WHITE,M,591
155,11416,390,250,549,HARRASSMENT 2,INSIDE,STREET,UNKNOWN,UNKNOWN,M,25-44,ASIAN / PACIFIC ISLANDER,M,1189
156,11417,596,276,830,PETIT LARCENY,INSIDE,RESIDENCE-HOUSE,UNKNOWN,UNKNOWN,M,25-44,ASIAN / PACIFIC ISLANDER,F,1702
157,11418,658,327,1135,PETIT LARCENY,INSIDE,STREET,UNKNOWN,UNKNOWN,M,25-44,WHITE HISPANIC,M,2120
158,11419,908,456,1405,PETIT LARCENY,INSIDE,RESIDENCE-HOUSE,UNKNOWN,UNKNOWN,M,25-44,ASIAN / PACIFIC ISLANDER,M,2769
159,11420,869,417,1194,PETIT LARCENY,INSIDE,RESIDENCE-HOUSE,UNKNOWN,UNKNOWN,M,25-44,ASIAN / PACIFIC ISLANDER,M,2480
160,11421,483,286,981,PETIT LARCENY,INSIDE,STREET,UNKNOWN,UNKNOWN,M,25-44,WHITE HISPANIC,F,1750
161,11422,400,290,674,HARRASSMENT 2,INSIDE,RESIDENCE-HOUSE,UNKNOWN,BLACK,M,25-44,BLACK,F,1364
162,11423,594,223,648,HARRASSMENT 2,INSIDE,STREET,UNKNOWN,BLACK,M,25-44,BLACK,M,1465
163,11426,182,114,236,PETIT LARCENY,INSIDE,RESIDENCE-HOUSE,UNKNOWN,(null),M,25-44,ASIAN / PACIFIC ISLANDER,M,532
164,11427,311,179,476,PETIT LARCENY,INSIDE,RESIDENCE-HOUSE,UNKNOWN,UNKNOWN,M,25-44,BLACK,F,966
165,11428,353,181,584,HARRASSMENT 2,INSIDE,RESIDENCE-HOUSE,UNKNOWN,BLACK,M,25-44,BLACK,F,1118
166,11429,392,278,652,HARRASSMENT 2,INSIDE,RESIDENCE-HOUSE,UNKNOWN,BLACK,M,25-44,BLACK,F,1322
167,11432,1481,452,2376,PETIT LARCENY,INSIDE,STREET,UNKNOWN,BLACK,M,25-44,UNKNOWN,M,4309
168,11433,1019,421,1581,PETIT LARCENY,INSIDE,STREET,UNKNOWN,BLACK,M,25-44,BLACK,F,3021
169,11434,1543,685,2620,PETIT LARCENY,INSIDE,STREET,UNKNOWN,BLACK,M,25-44,BLACK,F,4848
170,11435,1412,439,1703,PETIT LARCENY,INSIDE,STREET,UNKNOWN,BLACK,M,25-44,BLACK,M,3554
171,11436,325,224,430,HARRASSMENT 2,INSIDE,RESIDENCE-HOUSE,UNKNOWN,UNKNOWN,M,25-44,BLACK,F,979
172,11691,1108,896,1703,HARRASSMENT 2,INSIDE,RESIDENCE - APT. HOUSE,UNKNOWN,BLACK,M,25-44,BLACK,F,3707
173,11692,389,311,588,HARRASSMENT 2,INSIDE,RESIDENCE - APT. HOUSE,UNKNOWN,BLACK,M,25-44,BLACK,F,1288
174,11693,306,189,495,HARRASSMENT 2,INSIDE,STREET,UNKNOWN,BLACK,M,25-44,BLACK,F,990
175,11694,266,210,577,PETIT LARCENY,INSIDE,RESIDENCE - APT. HOUSE,UNKNOWN,BLACK,M,UNKNOWN,WHITE,M,1053
176,11697,16,6,16,GRAND LARCENY,INSIDE,RESIDENCE-HOUSE,(null),(null),(null),45-64,WHITE,F,38
177,99999,493,216,747,PETIT LARCENY,(null),STREET,UNKNOWN,UNKNOWN,M,25-44,UNKNOWN,M,1456
178,nan,18,6,39,PETIT LARCENY,INSIDE,STREET,UNKNOWN,UNKNOWN,M,25-44,BLACK,F,63
